id,source,create_time,create_time_ms,currency_pair,base_currency,quote_currency,side,role,amount,price,order_id,fee,fee_currency
earn_HYPE_1766279652000,earn,1766279652,1766279652000,HYPE_USDT,HYPE,USDT,earn,earn,1.4e-05,0.0,,0.0,HYPE
earn_USDT_1766279786000,earn,1766279786,1766279786000,USDT_USDT,USDT,USDT,earn,earn,0.00286,0.0,,0.0,USDT
earn_USDT_1766283356000,earn,1766283356,1766283356000,USDT_USDT,USDT,USDT,earn,earn,0.002821,0.0,,0.0,USDT
earn_HYPE_1766283914000,earn,1766283914,1766283914000,HYPE_USDT,HYPE,USDT,earn,earn,1.3e-05,0.0,,0.0,HYPE
earn_USDT_1766286601000,earn,1766286601,1766286601000,USDT_USDT,USDT,USDT,earn,earn,0.0028,0.0,,0.0,USDT
earn_HYPE_1766287242000,earn,1766287242,1766287242000,HYPE_USDT,HYPE,USDT,earn,earn,1.5e-05,0.0,,0.0,HYPE
earn_HYPE_1766290508000,earn,1766290508,1766290508000,HYPE_USDT,HYPE,USDT,earn,earn,1.4e-05,0.0,,0.0,HYPE
earn_USDT_1766290945000,earn,1766290945,1766290945000,USDT_USDT,USDT,USDT,earn,earn,0.002801,0.0,,0.0,USDT
earn_HYPE_1766294160000,earn,1766294160,1766294160000,HYPE_USDT,HYPE,USDT,earn,earn,1.3e-05,0.0,,0.0,HYPE
earn_USDT_1766294308000,earn,1766294308,1766294308000,USDT_USDT,USDT,USDT,earn,earn,0.00282,0.0,,0.0,USDT
earn_HYPE_1766297214000,earn,1766297214,1766297214000,HYPE_USDT,HYPE,USDT,earn,earn,1.3e-05,0.0,,0.0,HYPE
earn_USDT_1766298284000,earn,1766298284,1766298284000,USDT_USDT,USDT,USDT,earn,earn,0.00282,0.0,,0.0,USDT
earn_HYPE_1766301474000,earn,1766301474,1766301474000,HYPE_USDT,HYPE,USDT,earn,earn,1.4e-05,0.0,,0.0,HYPE
earn_USDT_1766301643000,earn,1766301643,1766301643000,USDT_USDT,USDT,USDT,earn,earn,0.002821,0.0,,0.0,USDT
earn_HYPE_1766304944000,earn,1766304944,1766304944000,HYPE_USDT,HYPE,USDT,earn,earn,1.3e-05,0.0,,0.0,HYPE
earn_USDT_1766305521000,earn,1766305521,1766305521000,USDT_USDT,USDT,USDT,earn,earn,0.00284,0.0,,0.0,USDT
earn_HYPE_1766308051000,earn,1766308051,1766308051000,HYPE_USDT,HYPE,USDT,earn,earn,1.3e-05,0.0,,0.0,HYPE
earn_USDT_1766308242000,earn,1766308242,1766308242000,USDT_USDT,USDT,USDT,earn,earn,0.002861,0.0,,0.0,USDT
earn_HYPE_1766312366000,earn,1766312366,1766312366000,HYPE_USDT,HYPE,USDT,earn,earn,1.3e-05,0.0,,0.0,HYPE
earn_USDT_1766312408000,earn,1766312408,1766312408000,USDT_USDT,USDT,USDT,earn,earn,0.00286,0.0,,0.0,USDT
earn_HYPE_1766315169000,earn,1766315169,1766315169000,HYPE_USDT,HYPE,USDT,earn,earn,1.4e-05,0.0,,0.0,HYPE
earn_USDT_1766316294000,earn,1766316294,1766316294000,USDT_USDT,USDT,USDT,earn,earn,0.002881,0.0,,0.0,USDT
earn_HYPE_1766319431000,earn,1766319431,1766319431000,HYPE_USDT,HYPE,USDT,earn,earn,1.3e-05,0.0,,0.0,HYPE
earn_USDT_1766319669000,earn,1766319669,1766319669000,USDT_USDT,USDT,USDT,earn,earn,0.00288,0.0,,0.0,USDT
